İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Luka Stankovski,1063157,Superliga 25/26,Mozzart Bet Superliga,FK Radnički 1923,6.5,0,0,79,102,77.450980392157,26,5,5,38.461538461538,2,0,0,0,0.0,7,2,9,75.0,277,0.0,0,0,0,5,71.428571428571,1,0,8,8,1,0,2,0,0,0,0,2,3,7,6,0,17,13,12,1,4,0.0,36,43,7,4,20,39.21568627451,0,0,0,0,14,56,2,6,1,175,0,0,0,0,0,0,0,0,5,13,3,42.857142857143,39,63,0,0.0,0,
Luka Stankovski,1063157,Superliga 24/25,Mozzart Bet Superliga,FK Radnički 1923,6.85,3,0,356,501,71.057884231537,157,24,28,54.901960784314,4,0,0,3,20.0,34,7,26,50.0,1552,8.8235294117647,0,0,0,16,41.025641025641,26,0,19,42,15,1,12,0,0,3,0,18,15,39,22,0,80,26,26,3,5,0.0,101,258,34,7,81,43.783783783784,0,0,0,0,28,247,8,47,20,814,2,0,0,0,0,0,0,0,24,51,20,58.823529411765,129,387,1,0.0,0,
Luka Stankovski,1063157,Super Lig 23/24,Trendyol Süper Lig,Gaziantep FK,6.35,0,0,16,22,72.727272727273,6,0,0,0.0,1,0,0,1,100.0,0,0,2,66.666666666667,53,0.0,0,0,0,1,100.0,0,0,0,4,1,0,0,0,0,0,0,1,1,1,2,0,3,2,2,0,0,0.04567831,8,9,4,0,4,36.363636363636,0,0,0,0,1,9,1,1,1,34,0,0,0,0,0,0,0,0,0,1,0,0.0,9,14,0,0.0,0,
Elias Telles,981419,Premier League 25/26,Ukrainian Premier League,Kolos Kovalivka,7.115,2,1,716,887,80.72,119,17,13,76.47,5,0,1,5,45.45,22,11,40,61.54,1800,9.091,1,1,1,80,55.56,42,17,51,43,37,0,8,0,0,0,0,19,11,144,0,1,207,20,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Elias Telles,981419,Premier League 24/25,Ukrainian Premier League,Kolos Kovalivka,6.9,1,0,122,152,80.26,15,3,5,71.43,1,0,0,1,50.0,3,1,9,69.23,315,33.33,0,0,0,11,55.0,13,1,4,5,7,0,4,0,0,0,0,2,2,20,0,0,33,9,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Artem Husol,1490703,Premier League 25/26,Ukrainian Premier League,Kolos Kovalivka,6.85,0,0,131,185,70.81,6,14,48,71.64,3,0,0,13,35.14,18,3,14,46.67,1003,0.0,0,0,0,3,42.86,4,3,12,18,18,9,1,0,0,0,0,12,37,7,0,0,45,18,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Artem Husol,1490703,Premier League 24/25,Ukrainian Premier League,Kolos Kovalivka,6.6846153846154,1,0,87,116,75.0,2,5,16,64.0,0,0,0,6,33.33,9,4,4,57.14,453,11.11,0,0,0,3,75.0,9,1,2,9,6,2,0,1,0,0,0,4,18,4,0,0,16,13,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Artem Husol,1490703,Premier League 23/24,Ukrainian Premier League,Kolos Kovalivka,6.45,0,0,3,6,50.0,0,0,2,66.67,0,0,0,0,0.0,0,0,1,100.0,50,0.0,0,0,0,0,0.0,2,0,2,1,3,1,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Oleksandr Demchenko,1131247,Premier League 25/26,Ukrainian Premier League,Kolos Kovalivka,6.9,0,2,234,298,78.52,24,11,9,69.23,0,0,0,6,31.58,14,2,17,53.13,975,0.0,0,0,3,14,51.85,14,6,9,9,12,0,1,0,0,0,0,11,19,27,0,0,69,16,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Oleksandr Demchenko,1131247,Premier League 24/25,Ukrainian Premier League,Kolos Kovalivka,6.8384615384615,0,0,804,943,85.26,91,7,7,77.78,2,0,0,4,30.77,22,3,40,66.67,2128,0.0,0,0,1,53,55.79,31,7,16,15,33,0,7,0,0,0,0,22,13,95,0,0,214,27,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Oleksandr Demchenko,1131247,Premier League 23/24,Ukrainian Premier League,Kolos Kovalivka,7.0035714285714,0,0,724,871,83.12,87,15,18,62.07,6,0,0,10,33.33,36,6,29,54.72,2277,0.0,0,0,7,39,54.93,30,16,23,20,50,3,9,1,0,0,0,25,30,71,0,0,221,28,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Artem Cheliadin,990195,Premier League 25/26,Ukrainian Premier League,Kolos Kovalivka,6.8,0,0,2,2,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,15,0.0,0,0,0,0,0.0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Artem Cheliadin,990195,Premier League 24/25,Ukrainian Premier League,Vorskla Poltava,6.8444444444444,1,1,573,706,81.16,55,10,12,85.71,6,0,0,4,20.0,17,2,37,50.68,1806,5.882,0,0,2,43,43.88,26,12,42,23,55,0,7,0,0,0,0,21,20,98,0,0,187,25,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Artem Cheliadin,990195,Premier League 23/24,Ukrainian Premier League,Vorskla Poltava,6.8928571428571,2,0,641,783,81.86,72,10,30,81.08,11,0,0,7,35.0,23,7,43,48.31,2070,8.696,0,0,2,41,59.42,30,12,44,37,61,1,8,2,0,0,0,22,20,69,0,0,214,28,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Danyil Alefirenko,1088720,Premier League 25/26,Ukrainian Premier League,Kolos Kovalivka,6.7894736842105,0,1,203,306,66.34,13,7,43,71.67,2,0,0,16,36.36,16,7,5,33.33,929,0.0,0,0,0,8,57.14,3,4,19,8,17,3,1,1,0,0,0,9,44,14,0,0,40,19,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Danyil Alefirenko,1088720,Premier League 24/25,Ukrainian Premier League,Kolos Kovalivka,6.6,1,3,263,396,66.41,26,8,38,57.58,4,0,0,17,30.91,20,6,14,35.9,1275,5.0,0,0,0,13,48.15,9,7,16,18,24,3,2,0,0,0,0,14,55,27,0,0,77,25,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Danyil Alefirenko,1088720,Premier League 23/24,Ukrainian Premier League,Zoria Luhansk,6.78,1,0,114,167,68.26,9,1,20,57.14,0,0,0,2,13.33,12,2,4,28.57,659,8.333,0,0,0,5,41.67,0,4,7,4,8,3,2,0,0,0,0,7,15,12,0,0,34,10,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2,
