İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Klayver,1836810,Premier League 25/26,Ukrainian Premier League,Rukh Lviv,6.5294117647059,1,0,203,253,80.24,10,8,28,54.9,1,0,0,6,37.5,7,1,2,12.5,964,14.29,0,0,0,3,60.0,1,1,19,8,10,1,1,0,0,0,0,11,16,5,0,0,43,17,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Klayver,1836810,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.6333333333333,1,0,108,131,82.44,6,4,30,60.0,1,0,1,2,22.22,6,4,4,33.33,507,16.67,0,0,0,1,50.0,2,1,10,11,9,3,0,0,0,0,0,3,9,2,0,1,38,15,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Klayver,1836810,Premier League 23/24,Ukrainian Premier League,Rukh Lviv,6.5,0,0,2,2,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,9,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Oleh Dziurynets,2216112,Premier League 25/26,Ukrainian Premier League,Rukh Lviv,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,4,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Mukhammed Dzhurabaiev,1836991,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.5,0,0,4,6,0.0,1,1,0,0.0,0,0,0,0,0.0,0,0,0,0.0,42,0.0,0,0,0,0,0.0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Mukhammed Dzhurabaiev,1836991,Premier League 23/24,Ukrainian Premier League,Rukh Lviv,6.6,0,0,1,1,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,9,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Andriy Kitela,1404246,Premier League 25/26,Ukrainian Premier League,Rukh Lviv,6.4666666666667,0,0,196,284,69.01,31,5,7,58.33,5,0,0,8,33.33,8,2,4,17.39,901,0.0,0,0,2,44,52.38,21,6,4,21,36,1,2,0,0,0,0,9,24,84,0,0,57,15,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Andriy Kitela,1404246,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.7428571428571,0,0,124,183,67.76,29,4,1,100.0,3,0,0,5,23.81,3,0,3,37.5,534,0.0,0,0,1,21,51.22,11,1,2,7,23,0,1,0,0,0,0,6,21,41,0,0,47,7,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Ostap Prytula,887206,Premier League 25/26,Ukrainian Premier League,Rukh Lviv,6.8,1,0,480,605,79.34,59,24,12,80.0,6,0,0,9,50.0,22,4,15,27.78,1739,4.545,2,1,0,23,46.0,17,10,17,31,29,0,2,1,0,0,0,18,18,50,0,0,111,21,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Ostap Prytula,887206,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.77,2,1,268,343,78.13,34,14,9,47.37,1,0,0,10,45.45,21,7,15,39.47,1080,9.524,2,1,0,7,28.0,8,3,6,6,8,1,4,2,0,0,0,11,22,25,0,0,71,20,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
